EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
310,10815840,9986971,10384298,10358452,10343664,10286028,10251121,10255485,10301038,
311,10069920,9987800,10378010,10344025,10316289,10242806,10196760,10181259,10185479,
312,11810400,10006026,10406657,10417343,10465700,10556324,10680852,10832915,10997939,
313,10691520,10012880,10412354,10431051,10488282,10583363,10684052,10776357,10844729,
314,9572640,10008477,10395559,10388130,10396717,10381218,10350628,10294870,10208684,
315,11313120,10021523,10413910,10434379,10488357,10567598,10639375,10702170,10760902,
316,11064480,10031952,10426921,10465884,10545969,10666974,10766906,10847094,10912691,
317,10318560,10034818,10424753,10458517,10523228,10597291,10632402,10635680,10615625,
318,11810400,10052573,10452465,10526111,10651945,10839912,10985801,11105568,11213012,
319,10318560,10055232,10449786,10515733,10618606,10735641,10785628,10790764,10765786,
320,10567200,10060351,10452134,10518306,10613465,10701952,10720099,10701338,10666493,
321,10815840,10067905,10459408,10533182,10633702,10724729,10748821,10747138,10741166,
322,11686080,10084086,10483941,10590826,10738939,10916999,11029998,11122714,11213623,
323,9696960,10080214,10468201,10546132,10634741,10672991,10630086,10552412,10455291,
324,8826720,10067679,10435371,10460161,10453938,10303736,10089076,9862135,9641005,
325,10567200,10072674,10438007,10465512,10465264,10356428,10232513,10144161,10104102,
326,11561760,10087564,10460482,10520324,10574913,10597494,10631287,10711200,10832931,
327,9572640,10082414,10442725,10472939,10474685,10392523,10313692,10255776,10202785,
328,10318560,10084775,10440241,10465220,10459072,10377730,10315152,10280889,10260672,
329,9821280,10082140,10427861,10433023,10395292,10266440,10166990,10097045,10040976,
330,9324000,10074558,10405783,10377571,10288162,10077952,9914093,9787827,9682488,
331,11064480,10084457,10418956,10411916,10365793,10275257,10259209,10298488,10373484,
332,9572640,10079338,10402029,10369952,10286477,10134733,10053238,10008148,9973062,
333,10194240,10080487,10397873,10361166,10277253,10146634,10095538,10082584,10083651,
334,10815840,10087840,10406232,10383899,10331111,10280475,10311628,10375886,10449745,
335,9821280,10085174,10394532,10355768,10280127,10188636,10164523,10154043,10135512,
336,10691520,10091237,10400471,10372555,10321266,10289212,10322622,10369033,10413516,
337,10069920,10091023,10393859,10357423,10296131,10245353,10246811,10249387,10241718,
338,9448320,10084595,10374948,10311967,10211349,10085946,10007263,9928960,9845019,
339,10940160,10093150,10386252,10343376,10284230,10256788,10287132,10333440,10392589,
340,9324000,10085458,10365006,10292407,10188207,10070230,9998192,9929664,9858294,
341,11686080,10101464,10391427,10362090,10337994,10393400,10504558,10632230,10772187,
342,9821280,10098662,10380024,10335049,10286322,10278976,10299574,10307850,10296733,
